CountryName,"Adolescent fertility rate (births per 1,000 women ages 15-19)",GDP per capita (current US$),GNI (current US$),"Incidence of tuberculosis (per 100,000 people)",Improved water source (% of population with access),"Mortality rate, neonatal (per 1,000 live births)","Mortality rate, under-5 (per 1,000)","Mortality rate, infant (per 1,000 live births)","Population, ages 0-14 (% of total)",Population ages 65 and above (% of total),"Tuberculosis case detection rate (%, all forms)",Urban population (% of total),Rural population (% of total population),Mobile cellular subscriptions (per 100 people),Internet users (per 100 people),"GNI per capita, PPP (current international $)","Inflation, GDP deflator (annual %)"
Afghanistan,99.6324,569.940728793286,15998801042.3649,189.0,48.0,38.7,105.0,75.1,47.58934443193271,2.27524958956208,53.0,24.689,75.311,45.778174741068106,4.0,1640.0,9.437794772596561
Albania,19.9188,4094.3588320382396,11807799816.0469,17.0,95.6,7.5,16.6,14.8,21.4251229288017,10.954817957857001,88.0,52.163000000000004,47.836999999999996,85.46824699704109,45.0,9200.0,4.48998143322825
Algeria,10.7334,4473.48644568115,160996386416.799,87.0,85.7,16.5,27.3,23.5,27.191308041459106,5.55098838363988,71.0,67.52600000000001,32.474000000000004,88.4448754843803,12.5,12630.0,16.119786936847802
Antigua and Barbuda,51.755,13017.310387548701,1104049629.62963,5.8,97.9,6.0,9.9,7.7,26.2331915674114,7.23350108330562,140.0,26.239,73.76100000000001,192.553276856236,47.0,19590.0,1.3660020686268002
Armenia,26.5732,3124.78401786195,9718566372.4156,63.0,98.4,9.5,18.0,16.1,20.514959358811396,10.5477449606816,76.0,63.58,36.42,130.43223274132998,25.0,6690.0,7.76871548180418
Australia,16.1562,51845.6548605562,1097882498018.15,6.5,100.0,2.8,4.8,4.1,19.0076570883464,13.4957383439134,88.0,88.73299999999999,11.267000000000001,100.42630744340201,76.0,37600.0,1.00790081932838
Austria,9.5894,46659.840818134406,393513509933.775,9.3,100.0,2.5,4.4,3.6,14.7286709010239,17.7483256049283,84.0,65.852,34.148,145.692819882684,75.17,42220.0,1.00083036221319
Azerbaijan,51.4608,5842.805783585761,49435841285.6609,128.0,82.8,21.7,39.0,33.9,22.7374211982493,5.92054214263838,65.0,53.401,46.599,100.059320146045,46.0,14600.0,13.756552992636399
"Bahamas, The",36.274,21920.516586758302,7674696000.0,13.0,98.1,8.0,13.9,11.4,22.5349887758778,6.95091871518443,66.0,82.54899999999999,17.451,118.82923067534401,43.0,21770.0,-0.392644699625464
Bahrain,14.1442,20386.0175551115,23340132978.7234,27.0,100.0,1.4,8.3,7.1,19.7043729619549,2.04563635369007,73.0,88.535,11.465,125.20844769490999,55.0,35790.0,7.441014837892539
Bangladesh,88.6528,760.3319352001952,124617096900.553,225.0,83.5,28.9,49.6,39.2,32.1276028707562,4.6863079011368205,45.0,30.462,69.538,44.94535881524939,3.7,2600.0,7.14464872957153
Barbados,47.2896,15901.4329353355,4333650000.0,2.5,99.1,9.1,14.7,13.6,19.9205196626199,12.464677392816,87.0,32.06,67.94,124.845218904692,65.1,14660.0,-3.66462787621444
Belarus,21.6808,5818.8548592157995,54058304319.9452,69.0,99.6,2.3,6.1,4.7,14.8459954475933,13.957521827047696,78.0,74.615,25.385,108.869705944641,31.8,15060.0,11.071485731255601
Belgium,9.564,44282.5493214554,497886887417.219,9.8,100.0,2.3,4.5,3.6,16.7814701914313,17.1765762017087,93.0,97.641,2.35899999999999,111.08418862568999,75.0,40300.0,1.93225746241912
Belize,72.317,4344.136669060879,1258614200.0,36.0,97.2,9.6,19.0,16.3,35.6902325494622,3.82047766076199,130.0,44.963,55.037,62.930702052852496,28.2,6950.0,1.13779569235355
Benin,96.1724,732.9536227266742,6916763750.38615,68.0,74.5,33.5,111.6,71.0,43.4212272437333,2.87977725709841,58.0,41.854,58.146,74.3960492115605,3.13,1710.0,0.8784012221853891
Bhutan,36.308,2201.2930777893603,1497491569.31098,206.0,96.0,22.2,42.3,34.1,30.1077687345712,4.48763339192443,88.0,34.793,65.207,54.999937233153716,13.6,6000.0,5.9855106273545715
Bolivia,76.2958,1981.1601052570104,18785524230.6378,135.0,86.9,22.6,47.0,36.8,34.6859146955938,5.9512645634384,62.0,66.426,33.574,70.6859804771301,22.4,5070.0,8.77750832182096
Bosnia and Herzegovina,12.9196,4392.4951719295,17125705850.4875,59.0,99.2,5.1,7.4,6.4,14.67663974627,13.4793017836088,58.0,39.226,60.773999999999994,80.87078570613241,42.75,8920.0,1.49631284798528
Botswana,43.0734,6244.00257387272,12237105746.585,518.0,95.9,24.2,53.5,39.8,33.1249014200879,3.42205973051488,66.0,56.235,43.765,120.010247082654,6.0,12300.0,8.920112303699039
Brazil,69.4194,11124.2457796398,2172767166894.04,46.0,96.9,10.7,16.6,14.8,25.3815205405648,6.67615883753896,82.0,84.335,15.665,100.881011548201,40.65,13880.0,8.56518254860947
Bulgaria,42.4214,6752.552177748821,48659141532.4218,38.0,99.5,7.1,13.0,11.2,13.5296046587574,18.2926916525691,87.0,72.30199999999999,27.698,138.038982701046,46.23,14690.0,1.2301818199040502
Burkina Faso,121.1052,574.458089293656,9202852644.27785,58.0,78.2,30.4,113.5,69.7,46.3152343394661,2.4637370389812903,53.0,25.665,74.335,36.7293802352647,2.4,1430.0,3.7796265928551
Burundi,31.5648,214.230990840075,2014764469.06325,144.0,74.7,31.7,98.8,63.8,43.9844153708278,2.58589974101367,56.0,10.640999999999998,89.359,18.174741596574695,1.0,690.0,12.303295978186
Cabo Verde,79.0454,3393.92749190379,1591147121.9859,147.0,88.9,13.9,27.8,23.3,31.9866878475628,5.59771115810425,50.0,61.833,38.167,76.2654301365256,30.0,5590.0,0.5049645918984139
Cambodia,48.0808,782.692789877004,10727606651.3343,436.0,64.2,20.7,43.1,36.7,33.3268029306888,3.7326054928066097,65.0,19.81,80.19,56.740711110968796,1.26,2350.0,3.1205928696397205
Cameroon,121.7918,1147.24234678519,23358489263.7857,260.0,72.1,28.1,104.8,66.2,43.4122237716837,3.24575708235954,45.0,51.516000000000005,48.483999999999995,41.8760103049101,4.3,2490.0,2.61860915783537
Canada,12.3764,47463.631192364905,1582706270627.06,5.1,99.8,3.7,5.6,4.9,16.472298256238698,14.1528732213835,78.0,80.937,19.063,75.6760779974588,80.3,39280.0,2.64681040990882
Central African Republic,101.6496,446.800204552837,1995649833.12369,431.0,67.2,46.4,150.2,101.7,40.525915455504496,3.90292584454394,35.0,38.828,61.172,22.5114892891158,2.0,870.0,2.0091868521333103
Chad,163.9606,895.8779958515421,10302348388.384,151.0,49.7,42.5,160.1,93.6,48.655826394247704,2.567411262922,53.0,21.983,78.017,24.5316758328647,1.7,1820.0,6.391195051306701
Chile,50.666000000000004,12785.051874948502,202906680273.649,16.0,98.2,5.4,8.8,7.6,21.8587805335606,9.674789045555439,87.0,88.586,11.414000000000001,115.751383612155,45.0,17030.0,8.8299074853301
China,7.6546,4514.9405201338,6013585808605.23,78.0,91.4,8.2,15.7,13.5,17.414905326014303,8.24602035446261,87.0,49.226000000000006,50.773999999999994,63.170278018813285,34.3,9200.0,6.93755554690647
Colombia,60.0682,6250.65449979147,275801544637.529,34.0,91.0,10.0,18.5,15.9,26.391925484897598,5.863369654594389,72.0,75.036,24.964000000000002,95.7645525770184,36.5,10260.0,3.85625889520473
"Congo, Dem. Rep.",126.6196,311.247895989099,19612504707.6864,327.0,50.7,32.9,116.1,84.8,46.4685085143914,2.91953989031512,53.0,39.937,60.063,19.00647585595,0.72,560.0,17.406681253454
"Congo, Rep.",126.9464,2953.1850078767493,9024207604.83527,386.0,74.3,21.9,60.6,42.2,42.1022912005131,3.59796344290493,65.0,63.228,36.772,90.44274712619921,5.0,4120.0,20.7220292270651
Costa Rica,61.2344,7985.951035327321,35553167737.9303,13.0,97.2,6.6,10.2,8.9,24.579007685567003,7.45776986332835,85.0,71.734,28.266,66.9932126042763,36.5,12150.0,7.96091366689441
Cote d'Ivoire,136.0868,1236.08519806872,23972203265.4454,196.0,80.7,41.8,109.1,76.9,43.6520708353246,2.97949895654651,58.0,50.556999999999995,49.443000000000005,82.2015211585982,2.7,2570.0,5.386423289956781
Croatia,12.6922,13509.1858157682,58004170305.2796,19.0,99.2,3.5,5.4,4.6,15.4819787208164,17.5399317722421,83.0,57.537,42.463,113.608144900896,56.55,18440.0,0.8315497290899
Cuba,48.6742,5688.66673216525,62895900000.0,9.3,93.5,2.7,6.1,4.9,17.6377656683026,12.502293703125,79.0,76.597,23.403000000000002,8.8905834617411,15.9,17660.0,1.20664153344083
Cyprus,5.9046,30438.900194806094,24302208762.5379,5.2,100.0,1.9,3.6,3.0,17.7687474234043,11.567702741271301,110.0,67.551,32.449,93.69258438775559,52.99,32660.0,2.05360410051337
Czech Republic,11.0624,19763.963798473702,191444159951.409,6.9,100.0,2.4,4.1,3.4,14.254179056874301,15.383267516080599,85.0,73.255,26.745,122.55511123538601,68.82,25020.0,-1.45034444405631
Denmark,5.0092,57647.668762065,325077612417.987,6.7,100.0,2.8,4.0,3.3,17.9623737087592,16.662274032288803,89.0,86.795,13.205,115.66992298087601,88.72,42500.0,3.24766919416129
Dominican Republic,103.8548,5441.96574879171,52151355842.5156,67.0,85.9,23.5,33.8,27.9,31.432777768965696,6.073570746686469,60.0,73.752,26.248,88.7787084034947,31.4,10630.0,5.6485548868593884
Ecuador,79.5994,4657.30173745799,68514592427.9106,59.0,84.9,12.6,25.2,21.3,30.731393724088893,6.1035808438500085,55.0,62.69,37.31,98.531158306553,29.03,9030.0,7.46507996966288
"Egypt, Arab Rep.",52.272,2668.03598826159,214525524816.77695,18.0,98.3,15.5,29.0,24.3,31.9387024979244,4.915910697035192,63.0,43.019,56.981,90.5031917419125,21.6,9700.0,10.115503426260801
El Salvador,70.7974,3547.0709831532204,20880100000.0,33.0,90.1,9.8,20.0,17.1,30.534689696083607,7.3272371423376,86.0,64.286,35.714,123.835550348614,15.9,7120.0,2.2696010450895696
Equatorial Guinea,117.73899999999999,17441.0925450303,5980076427.13068,129.0,47.5,36.4,110.9,78.9,40.0192120322213,3.00352678020063,87.0,39.223,60.777,57.3554908520513,6.0,17130.0,35.6353293753919
Eritrea,67.0376,451.426692978846,2097411539.9162107,102.0,56.4,20.5,55.6,39.4,42.345379114580496,2.3152618183307,60.0,20.572,79.428,3.22713584487035,0.61,1290.0,11.5737582260237
Estonia,18.7038,14641.403144374199,18481324503.3113,28.0,99.5,2.5,4.6,3.6,15.1333732205581,17.5236789734019,78.0,68.094,31.906,127.28278757644199,74.1,20000.0,1.54702506599105
Ethiopia,73.7094,341.85895616943003,29825574928.2445,268.0,47.8,32.5,75.7,50.8,44.4417643060707,3.30191423398332,66.0,17.319000000000003,82.681,7.8695423234239295,0.75,1050.0,1.44457232090372
Fiji,43.8366,3651.9582906354,3043130949.2780104,47.0,95.1,10.3,23.9,20.3,28.997199843712202,4.83189759428434,47.0,51.828,48.172,81.1007728697277,20.0,7390.0,4.22978425637548
Finland,8.043,46205.16601118549,251172185430.464,6.3,100.0,1.7,3.0,2.5,16.5065513247498,17.1328911694465,91.0,83.55799999999999,16.442,156.305511511184,86.89,38820.0,0.350772528158473
France,9.7082,40705.7662299421,2701026490066.23,9.3,100.0,2.3,4.3,3.5,18.4556088695731,17.024859589572802,82.0,78.345,21.655,91.3873297259601,77.28,36600.0,1.0798254992091398
Gabon,116.2276,9312.04946268888,12658622460.7644,473.0,91.1,25.9,63.3,42.8,37.8921044712621,5.3694187047970905,52.0,85.697,14.302999999999999,103.45567663225401,7.23,14110.0,13.5595922524138
"Gambia, The",115.8804,562.568166674662,944381894.659314,178.0,88.9,33.2,81.4,51.7,46.3754915824081,2.5043679806639303,66.0,56.297,43.703,87.9633353960396,9.2,1610.0,4.36854826507549
Georgia,48.3428,2613.75692472768,11423844077.8769,127.0,96.8,10.0,16.6,14.9,16.9238508356917,14.3222375210935,87.0,52.869,47.131,90.6479269136874,26.9,5710.0,8.543366059169099
Germany,8.724,41788.0447853084,3484625165562.91,5.8,100.0,2.3,4.2,3.5,13.521432820539902,20.6049129644026,86.0,74.291,25.709,106.48369587659,82.0,40390.0,0.75770440762841
Ghana,70.538,1323.09914056856,31640997973.4451,183.0,83.1,31.9,74.7,50.2,39.0927912937941,3.53834777533138,33.0,50.713,49.287,71.8667112395175,7.8,2970.0,16.5956140950988
Greece,9.7886,26841.8554705027,293470940397.351,5.5,100.0,3.0,4.7,4.1,14.620502654035,19.014513877823802,72.0,76.292,23.708000000000002,110.645518509948,44.4,28310.0,0.673371802701993
Grenada,38.178000000000004,7365.66653539866,731111111.111111,3.8,96.6,6.8,13.2,11.9,27.510341335728,7.24609990733399,99.0,35.681,64.319,116.49741586021798,27.0,10390.0,0.4797211921449929
Guatemala,87.7028,2805.9513923411605,40126708265.2833,62.0,90.7,15.8,34.5,28.4,39.09562829493721,4.47035251411851,37.0,49.323,50.677,125.98315554720101,10.5,6340.0,5.14189332509937
Guinea,149.6754,430.05647385910004,4302274718.31907,186.0,72.8,34.6,111.9,71.2,43.3193708986029,3.1305420450353902,54.0,34.856,65.14399999999999,36.778115697147996,1.0,1040.0,20.199578296987802
Guinea-Bissau,108.395,518.598360839748,846574708.172161,372.0,69.8,45.5,115.9,73.4,41.502304497135,3.1298571285207,36.0,45.221000000000004,54.778999999999996,42.6922194546408,2.45,1300.0,3.0773220334039
Guyana,91.689,2998.94127424089,2272061199.45511,110.0,94.2,23.9,41.5,33.5,33.8349956594572,4.31465882271737,86.0,28.239,71.76100000000001,71.2859007334702,29.9,5700.0,6.70298985848277
Haiti,43.3346,662.279518162433,6644819100.1647215,229.0,59.3,29.9,208.8,85.5,35.883084322129505,4.45725071270229,62.0,52.016000000000005,47.983999999999995,40.4187381269957,8.37,1480.0,5.4510563222192
Honduras,74.6882,2110.8220208871,15110478377.9922,47.0,88.0,13.1,24.4,20.7,35.8540087621396,4.412880011993809,82.0,51.696000000000005,48.303999999999995,124.718758348418,11.09,4050.0,4.67604329499009
Hungary,19.363,13009.3453790731,124045407329.037,14.0,100.0,4.0,6.6,5.7,14.644131242752499,16.7209122890474,110.0,68.859,31.141,119.94271782101299,65.0,20560.0,2.25993868736838
Iceland,10.6004,41620.0674537296,11112238203.2987,4.0,100.0,1.2,2.4,1.9,20.9198785066123,12.145565680004498,170.0,93.624,6.376,107.24275410166,93.39,32390.0,5.594906534206199
India,36.099000000000004,1387.88008401297,1690504149125.85,185.0,90.3,32.7,59.9,46.3,30.8942920698212,5.11329775439643,59.0,30.93,69.07,62.39006487199821,7.5,4320.0,8.983812685247699
Indonesia,51.505,3125.21993359966,734395998152.4159,415.0,84.5,16.4,33.1,27.4,28.8851670252385,4.93416239314746,30.0,49.924,50.076,87.7901449325222,10.92,8070.0,15.264293657646196
"Iran, Islamic Rep.",29.5988,6299.918737906651,467869970238.016,20.0,95.8,11.7,19.2,16.4,23.458776748094696,4.932588045528919,71.0,70.626,29.374000000000002,72.5894228857835,15.9,17170.0,14.359292818233
Iraq,80.003,4487.36628937513,140108122649.573,45.0,85.1,20.7,36.6,30.0,41.85805268056829,3.27970352359241,69.0,69.03399999999999,30.965999999999998,75.1376606061937,2.5,12560.0,16.5867407502258
Ireland,13.7812,48260.665358323604,186744370860.927,10.0,97.4,2.5,4.2,3.5,20.7180593823189,11.1421655873281,83.0,61.84,38.16,105.235809874784,69.85,36670.0,-2.32183161766163
Israel,12.5248,30736.3638939294,227769189622.894,5.6,100.0,2.4,4.6,3.7,27.238136976495,10.434886787286,82.0,91.824,8.176,122.783667871998,67.5,28130.0,1.48267115368448
Italy,6.591,35877.8719327318,2121293245033.11,7.1,100.0,2.4,4.0,3.4,14.0211905392305,20.442225899584106,110.0,68.327,31.673000000000002,154.797008800909,53.68,34630.0,0.319927712027052
Jamaica,67.8484,4902.03473104734,12697013046.4637,5.6,93.7,13.5,18.1,15.5,27.1278864081498,8.39550380793018,85.0,53.743,46.257,116.06829875049499,27.67,7890.0,9.839669182230821
Japan,4.7704,42909.2341523544,5643190525393.63,20.0,100.0,1.1,3.2,2.4,13.289890287451101,22.9421995174011,89.0,90.522,9.47799999999999,96.8075244937818,78.21,34650.0,-2.1644214353437703
Jordan,26.802,4370.721044760129,26218055492.9577,6.3,96.9,12.5,20.8,17.8,36.6926402197514,3.72335496398233,83.0,82.473,17.527,102.56324449373301,27.2,10940.0,8.41218336104031
Kazakhstan,30.0468,9070.64997199985,128676481286.689,145.0,93.2,10.7,21.6,19.3,24.178241126765,6.80083116378625,99.0,53.732,46.268,121.86700099810801,31.6,16690.0,19.542285397404
Kenya,96.5826,991.850545143199,39852031724.0753,299.0,60.0,25.9,62.1,42.4,42.6096797056698,2.6601459872621,82.0,23.570999999999998,76.429,61.0349130809079,14.0,2480.0,2.0938033432947702
Kiribati,23.5756,1465.50457444028,211796000.73381,366.0,65.4,25.7,62.9,48.3,36.0562310030395,3.5480476969838604,76.0,43.773,56.227,10.8396509212936,9.07,2270.0,1.11941534836635
"Korea, Rep.",1.916,22151.208892132403,1095599453662.05,102.0,97.6,1.7,4.1,3.5,16.2400679192751,11.088888681107399,88.0,81.936,18.064,104.774246283547,83.7,30500.0,3.1614524013424394
Kuwait,12.6032,37725.141206371,123881275318.978,30.0,99.0,4.6,10.8,9.2,23.5747463697179,1.85587517850297,100.0,98.26299999999999,1.73699999999999,133.011485569498,61.4,77500.0,11.1657139576088
